Seconds,IcoFace,Stereopsis,6DoF,SpatialAudio,HighResolution,AltColour,EyeTrackingOrigin_X,EyeTrackingOrigin_Y,EyeTrackingOrigin_Z,EyeTrackingTarget_X,EyeTrackingTarget_Y,EyeTrackingTarget_Z,1/31/2023 6:57:12 PM
123.15061886,48,0,1,0,1,0,-0.08639435,1.743348,-0.05115891,-0.7293105,0.1415867,0.6693725,1/31/2023 6:57:12 PM
123.154824849,48,0,1,0,1,0,-0.08639435,1.743348,-0.05115891,-0.7293105,0.1415867,0.6693725,1/31/2023 6:57:12 PM
123.156245214,48,0,1,0,1,0,-0.08639435,1.743348,-0.05115891,-0.7293105,0.1415867,0.6693725,1/31/2023 6:57:12 PM
123.178624328,48,0,1,0,1,0,-0.08160705,1.742252,-0.04415643,-0.6749835,0.1058671,0.7301982,1/31/2023 6:57:12 PM
123.202314641,48,0,1,0,1,0,-0.07804018,1.7419,-0.04006779,-0.6735346,0.1057585,0.7315507,1/31/2023 6:57:12 PM
123.217579485,48,0,1,0,1,0,-0.0757167,1.741978,-0.0371027,-0.6616254,0.1030287,0.7427226,1/31/2023 6:57:12 PM
123.245910578,48,0,1,0,1,0,-0.07062033,1.74199,-0.03170192,-0.6554095,0.102375,0.7483032,1/31/2023 6:57:12 PM
123.262271151,48,0,1,0,1,0,-0.06761351,1.741762,-0.02843058,-0.6277924,0.1012544,0.7717671,1/31/2023 6:57:12 PM
123.276164172,47,0,1,0,1,0,-0.06476732,1.741535,-0.0260762,-0.5914651,0.1025987,0.7997766,1/31/2023 6:57:12 PM
123.301705578,47,0,1,0,1,0,-0.05818556,1.741307,-0.02046585,-0.6104558,0.1095394,0.7844392,1/31/2023 6:57:12 PM
123.316878235,59,0,1,0,1,0,-0.05471699,1.741547,-0.01796925,-0.4878728,0.08947287,0.8683172,1/31/2023 6:57:12 PM
123.333506724,59,0,1,0,1,0,-0.05061978,1.741459,-0.01509285,-0.3601144,0.1039388,0.9271,1/31/2023 6:57:12 PM
123.357825005,59,0,1,0,1,0,-0.04249036,1.74125,-0.01052237,-0.2085492,0.1043191,0.9724324,1/31/2023 6:57:12 PM
123.374663651,59,0,1,0,1,0,-0.03819549,1.740798,-0.008516312,-0.0920333,0.09472883,0.9912398,1/31/2023 6:57:12 PM
